Item,Indiana,Adams,Allen,Bartholomew,Benton,Blackford,Boone,Brown,Carroll,Cass,Clark,Clay,Clinton,Crawford,Daviess,Dearborn,Decatur,DeKalb,Delaware,Dubois,Elkhart,Fayette,Floyd,Fountain,Franklin,Fulton,Gibson,Grant,Greene,Hamilton,Hancock,Harrison,Hendricks,Henry,Howard,Huntington,Jackson,Jasper,Jay,Jefferson,Jennings,Johnson,Knox,Kosciusko,LaGrange,Lake,LaPorte,Lawrence,Madison,Marion,Marshall,Martin,Miami,Monroe,Montgomery,Morgan,Newton,Noble,Ohio,Orange,Owen,Parke,Perry,Pike,Porter,Posey,Pulaski,Putnam,Randolph,Ripley,Rush,St. Joseph,Scott,Shelby,Spencer,Starke,Steuben,Sullivan,Switzerland,Tippecanoe,Tipton,Union,Vanderburgh,Vermillion,Vigo,Wabash,Warren,Warrick,Washington,Wayne,Wells,White,Whitley
"Layers sold                                                                        farms, 2022",859,48,15,1,-,2,8,11,4,1,9,6,9,-,33,-,2,2,10,4,100,-,1,-,8,12,4,2,4,5,3,7,7,4,1,7,3,4,12,19,5,7,-,27,134,6,2,9,2,2,20,2,2,6,15,6,1,20,-,10,7,21,3,-,12,4,3,7,4,5,9,15,5,18,7,-,1,2,11,10,15,-,4,1,4,4,4,2,13,12,8,2,2
2017,987,47,22,16,3,-,17,5,6,8,17,5,13,-,38,6,1,4,3,13,70,3,-,2,10,5,2,14,16,6,7,7,12,8,1,10,6,8,5,15,3,16,6,18,127,3,-,18,11,6,16,2,10,16,15,10,6,33,-,3,17,12,4,2,5,6,3,11,-,10,1,18,12,15,-,10,7,2,5,4,16,-,2,-,3,3,3,8,22,18,5,1,12
"number, 2022","14,201,687",(D),"40,492",(D),-,(D),125,985,214,(D),273,203,(D),-,"1,345",-,(D),(D),329,(D),"361,224",-,(D),-,133,(D),(D),(D),140,203,65,58,330,24,(D),"192,107",(D),102,(D),"2,473",276,601,-,(D),"850,458",98,(D),143,(D),(D),685,(D),(D),136,641,188,(D),(D),-,(D),70,"87,474",14,-,184,23,(D),235,"2,008",85,(D),"3,354",123,"1,020",521,-,(D),(D),143,311,(D),-,21,(D),57,(D),66,(D),"151,138","5,558",(D),(D),(D)
2017,"6,783,150",(D),"86,323",128,225,-,"1,178",112,684,138,244,120,(D),-,"3,493",848,(D),179,20,(D),"189,153",20,-,(D),275,75,(D),"20,732","3,202",142,170,255,271,"1,875",(D),"181,233",(D),650,"657,050",398,(D),164,60,(D),"581,345",65,-,737,167,680,"44,287",(D),944,348,"1,744",404,(D),"117,411",-,(D),298,"17,528",192,(D),65,152,(D),460,-,533,(D),(D),353,914,-,"3,096",117,(D),950,70,(D),-,(D),-,112,18,21,270,"67,479","1,042",(D),(D),871
"Pullets for laying flock replacement sold                      farms, 2022",191,8,2,1,-,-,2,4,-,-,6,-,-,-,5,-,-,1,-,3,33,-,6,-,-,-,1,-,-,-,-,4,3,-,-,-,2,1,9,2,-,-,-,8,38,1,-,2,-,-,5,-,-,-,1,-,-,8,-,1,3,-,1,-,2,-,-,-,3,-,-,3,-,-,-,-,-,-,-,-,2,-,-,-,5,3,1,-,3,3,4,-,1
2017,167,6,3,-,3,-,3,2,-,2,4,-,-,-,7,-,-,-,-,4,23,-,-,-,1,-,-,7,2,-,-,1,2,-,-,-,4,7,7,-,-,-,-,8,24,-,-,5,-,-,3,-,1,3,-,-,-,8,-,2,-,1,-,-,-,-,1,4,-,1,-,3,-,-,-,-,-,-,-,2,-,-,1,-,-,4,-,-,-,3,3,1,1
"number, 2022","20,405,205","169,140",(D),(D),-,-,(D),464,-,-,56,-,-,-,"1,215",-,-,(D),-,"2,570,000","1,406,153",-,"55,086",-,-,-,(D),-,-,-,-,80,210,-,-,-,(D),(D),"3,823,100",(D),-,-,-,(D),"1,702,053",(D),-,(D),-,-,"600,182",-,-,-,(D),-,-,"240,415",-,(D),45,-,(D),-,(D),-,-,-,"360,000",-,-,90,-,-,-,-,-,-,-,-,(D),-,-,-,86,(D),(D),-,36,25,(D),-,(D)
2017,"32,010,961","360,000",15,-,225,-,280,(D),-,(D),70,-,-,-,"1,177",-,-,-,-,"2,492,319","1,177,673",-,-,-,(D),-,-,(D),(D),-,-,(D),(D),-,-,-,(D),(D),"3,700,000",-,-,-,-,"5,017,180","918,988",-,-,125,-,-,310,-,(D),6,-,-,-,(D),-,(D),-,(D),-,-,-,-,(D),40,-,(D),-,105,-,-,-,-,-,-,-,(D),-,-,(D),-,-,"544,081",-,-,-,105,"401,000",(D),(D)
"Broilers and other meat-type chickens sold                farms, 2022",715,12,20,4,-,-,1,3,6,1,16,3,4,-,8,8,5,10,5,1,105,-,4,-,6,8,9,1,13,-,10,5,20,8,-,3,3,1,6,4,4,4,-,31,126,1,4,8,9,2,22,-,-,2,6,4,-,30,-,3,6,13,-,-,5,-,4,9,-,5,2,7,7,10,2,3,2,-,4,1,6,4,4,1,3,6,2,1,17,10,3,3,6
2017,744,21,14,7,2,-,19,-,-,6,10,3,7,-,2,17,5,6,2,1,87,1,-,-,4,4,-,-,8,3,4,6,15,7,7,7,3,11,5,5,5,12,6,18,102,1,-,14,4,4,7,6,1,6,11,5,-,17,-,9,6,8,8,-,14,-,2,10,5,15,3,15,10,6,2,2,-,3,2,13,4,4,1,2,3,7,6,9,31,10,3,1,12
