"","GID_2","value"
"468","USA.13.19_1",23
"469","USA.13.20_1",61
"470","USA.13.21_1",98
"471","USA.13.22_1",44
"472","USA.13.23_1",169
"473","USA.13.24_1",48
"474","USA.13.25_1",78
"475","USA.13.26_1",101
"476","USA.13.27_1",43
"477","USA.13.28_1",265
"478","USA.13.29_1",108
"479","USA.13.30_1",55
"480","USA.13.31_1",16
"481","USA.13.32_1",23
"482","USA.13.33_1",25
"483","USA.13.34_1",45
"484","USA.13.35_1",59
"485","USA.13.36_1",52
"486","USA.13.37_1",58
"487","USA.13.38_1",84
"488","USA.13.39_1",17
"489","USA.13.40_1",20
"490","USA.13.41_1",30
"491","USA.13.42_1",164
"492","USA.13.43_1",18
"493","USA.13.44_1",70
"494","USA.14.1_1",54
"495","USA.14.2_1",5
"496","USA.14.3_1",37
"497","USA.14.4_1",60
"498","USA.14.5_1",24
"499","USA.14.6_1",63
"500","USA.14.7_1",11
"501","USA.14.8_1",39
"502","USA.14.9_1",5
"503","USA.14.10_1",73
"504","USA.14.11_1",38
"505","USA.14.12_1",37
"506","USA.14.13_1",32
"507","USA.14.14_1",53
"508","USA.14.15_1",27
"509","USA.14.16_1",22
"510","USA.14.17_1",41
"511","USA.14.18_1",26
"512","USA.14.19_1",77
"513","USA.14.20_1",26
"514","USA.14.21_1",45
"515","USA.14.22_1",22
"516","USA.14.23_1",25
"517","USA.14.24_1",17
"518","USA.14.25_1",75
"519","USA.14.26_1",57
"520","USA.14.27_1",22
"521","USA.14.28_1",39
"522","USA.14.29_1",65
"523","USA.14.30_1",2
"524","USA.14.31_1",24
"525","USA.14.32_1",35
"526","USA.14.33_1",19
"527","USA.14.34_1",44
"528","USA.14.35_1",9
"529","USA.14.36_1",17
"530","USA.14.37_1",79
"531","USA.14.38_1",94
"532","USA.14.39_1",75
"533","USA.14.40_1",27
"534","USA.14.41_1",61
"535","USA.14.42_1",20
"536","USA.14.43_1",69
"537","USA.14.44_1",52
"538","USA.14.45_1",58
"539","USA.14.46_1",74
"540","USA.14.47_1",41
"541","USA.14.48_1",58
"542","USA.14.49_1",102
"543","USA.14.50_1",48
"544","USA.14.51_1",52
"545","USA.14.52_1",33
"546","USA.14.53_1",44
"547","USA.14.54_1",62
"548","USA.14.55_1",25
"549","USA.14.56_1",25
"550","USA.14.57_1",87
"551","USA.14.58_1",86
"552","USA.14.59_1",48
"553","USA.14.60_1",32
"554","USA.14.61_1",16
"555","USA.14.62_1",20
"556","USA.14.63_1",23
"557","USA.14.64_1",232
"558","USA.14.65_1",84
"559","USA.14.66_1",20
"560","USA.14.67_1",27
"561","USA.14.68_1",39
"562","USA.14.69_1",57
"563","USA.14.70_1",17
"564","USA.14.71_1",74
"565","USA.14.72_1",72
"566","USA.14.73_1",79
"567","USA.14.74_1",19
"568","USA.14.75_1",33
"569","USA.14.76_1",37
"570","USA.14.77_1",26
"571","USA.14.78_1",6
"572","USA.14.79_1",8
"573","USA.14.80_1",65
"574","USA.14.81_1",30
"575","USA.14.82_1",87
"576","USA.14.83_1",0
"577","USA.14.84_1",31
"578","USA.14.85_1",40
"579","USA.14.86_1",10
"580","USA.14.87_1",11
"581","USA.14.88_1",44
"582","USA.14.89_1",27
"583","USA.14.90_1",101
"584","USA.14.91_1",75
"585","USA.14.92_1",35
"586","USA.14.93_1",48
"587","USA.14.94_1",9
"588","USA.14.95_1",64
"589","USA.14.96_1",29
"590","USA.14.97_1",69
"591","USA.14.98_1",27
"592","USA.14.99_1",69
"593","USA.14.100_1",145
"594","USA.14.101_1",65
"595","USA.14.102_1",114
"596","USA.14.103_1",94
"597","USA.15.1_1",294
"598","USA.15.2_1",185
"599","USA.15.3_1",42
"600","USA.15.4_1",14
"601","USA.15.5_1",21
"602","USA.15.6_1",37
"603","USA.15.7_1",50
"604","USA.15.8_1",50
"605","USA.15.9_1",53
"606","USA.15.10_1",78
"607","USA.15.11_1",58
"608","USA.15.12_1",34
"609","USA.15.13_1",36
"610","USA.15.14_1",277
"611","USA.15.15_1",88
"612","USA.15.16_1",57
"613","USA.15.17_1",34
"614","USA.15.18_1",77
"615","USA.15.19_1",89
"616","USA.15.20_1",544
"617","USA.15.21_1",23
"618","USA.15.22_1",38
"619","USA.15.23_1",20
"620","USA.15.24_1",51
"621","USA.15.25_1",69
"622","USA.15.26_1",28
"623","USA.15.27_1",29
"624","USA.15.28_1",100
"625","USA.15.29_1",80
"626","USA.15.30_1",55
"627","USA.15.31_1",115
"628","USA.15.32_1",98
"629","USA.15.33_1",62
"630","USA.15.34_1",50
"631","USA.15.35_1",46
"632","USA.15.36_1",44
"633","USA.15.37_1",44
"634","USA.15.38_1",98
"635","USA.15.39_1",93
"636","USA.15.40_1",45
"637","USA.15.41_1",72
"638","USA.15.42_1",27
"639","USA.15.43_1",163
"640","USA.15.44_1",765
"641","USA.15.45_1",55
"642","USA.15.46_1",0
"643","USA.15.47_1",75
"644","USA.15.48_1",104
"645","USA.15.49_1",63
"646","USA.15.50_1",35
"647","USA.15.51_1",121
"648","USA.15.52_1",32
"649","USA.15.53_1",56
"650","USA.15.54_1",73
"651","USA.15.55_1",79
"652","USA.15.56_1",73
"653","USA.15.57_1",15
"654","USA.15.58_1",197
"655","USA.15.59_1",10
"656","USA.15.60_1",53
"657","USA.15.61_1",67
"658","USA.15.62_1",103
"659","USA.15.63_1",39
"660","USA.15.64_1",12
"661","USA.15.65_1",79
"662","USA.15.66_1",23
"663","USA.15.67_1",24
"664","USA.15.68_1",75
"665","USA.15.69_1",51
"666","USA.15.70_1",88
"667","USA.15.71_1",27
"668","USA.15.72_1",77
"669","USA.15.73_1",44
"670","USA.15.74_1",51
"671","USA.15.75_1",56
"672","USA.15.76_1",21
"673","USA.15.77_1",46
"674","USA.15.78_1",23
"675","USA.15.79_1",44
"676","USA.15.80_1",88
"677","USA.15.81_1",37
"678","USA.15.82_1",18
"679","USA.15.83_1",24
"680","USA.15.84_1",19
"681","USA.15.85_1",45
"682","USA.15.86_1",51
"683","USA.15.87_1",41
"684","USA.15.88_1",43
"685","USA.15.89_1",133
"686","USA.15.90_1",109
"687","USA.15.91_1",33
"688","USA.15.92_1",30
"689","USA.15.93_1",51
"690","USA.16.1_1",38
"691","USA.16.2_1",23
"692","USA.16.3_1",72
"693","USA.16.4_1",80
"694","USA.16.5_1",26
"695","USA.16.6_1",63
"696","USA.16.7_1",100
"697","USA.16.8_1",68
"698","USA.16.9_1",106
"699","USA.16.10_1",84
"700","USA.16.11_1",43
"701","USA.16.12_1",67
"702","USA.16.13_1",39
"703","USA.16.14_1",55
"704","USA.16.15_1",39
"705","USA.16.16_1",70
"706","USA.16.17_1",45
"707","USA.16.18_1",36
"708","USA.16.19_1",41
"709","USA.16.20_1",55
"710","USA.16.21_1",24
"711","USA.16.22_1",97
"712","USA.16.23_1",54
"713","USA.16.24_1",40
"714","USA.16.25_1",94
"715","USA.16.26_1",118
"716","USA.16.27_1",44
"717","USA.16.28_1",67
"718","USA.16.29_1",27
"719","USA.16.30_1",32
"720","USA.16.31_1",118
"721","USA.16.32_1",18
"722","USA.16.33_1",69
"723","USA.16.34_1",61
"724","USA.16.35_1",42
"725","USA.16.36_1",16
"726","USA.16.37_1",52
"727","USA.16.38_1",38
"728","USA.16.39_1",34
"729","USA.16.40_1",55
"730","USA.16.41_1",43
"731","USA.16.42_1",49
"732","USA.16.43_1",57
"733","USA.16.44_1",60
"734","USA.16.45_1",59
"735","USA.16.46_1",15
"736","USA.16.47_1",15
"737","USA.16.48_1",5790
"738","USA.16.49_1",82
"739","USA.16.50_1",101
"740","USA.16.51_1",61
"741","USA.16.52_1",144
"742","USA.16.53_1",49
"743","USA.16.54_1",38
"744","USA.16.55_1",37
"745","USA.16.56_1",50
"746","USA.16.57_1",112
"747","USA.16.58_1",24
"748","USA.16.59_1",52
"749","USA.16.60_1",76
"750","USA.16.61_1",156
"751","USA.16.62_1",39
"752","USA.16.63_1",80
"753","USA.16.64_1",46
"754","USA.16.65_1",39
"755","USA.16.66_1",61
"756","USA.16.67_1",23
"757","USA.16.68_1",34
"758","USA.16.69_1",25
"759","USA.16.70_1",49
"760","USA.16.71_1",38
"761","USA.16.72_1",23
"762","USA.16.73_1",22
"763","USA.16.74_1",25
"764","USA.16.75_1",59
"765","USA.16.76_1",21
"766","USA.16.77_1",121
"767","USA.16.78_1",98
"768","USA.16.79_1",50
"769","USA.16.80_1",45
"770","USA.16.81_1",39
"771","USA.16.82_1",62
"772","USA.16.83_1",33
"773","USA.16.84_1",112
"774","USA.16.85_1",111
"775","USA.16.86_1",41
"776","USA.16.87_1",31
"777","USA.16.88_1",76
"778","USA.16.89_1",59
"779","USA.16.90_1",47
"780","USA.16.91_1",208
"781","USA.16.92_1",105
"782","USA.16.93_1",49
"783","USA.16.94_1",57
"784","USA.16.95_1",23
"785","USA.16.96_1",83
"786","USA.16.97_1",65
"787","USA.16.98_1",48
"788","USA.16.99_1",44
"789","USA.19.1_1",60
"790","USA.19.2_1",52
"791","USA.19.3_1",46
"792","USA.19.4_1",8
"793","USA.19.5_1",87
"794","USA.19.6_1",157
"795","USA.19.7_1",31
"796","USA.19.8_1",92
"797","USA.19.9_1",95
"798","USA.19.10_1",127
"799","USA.19.11_1",42
"800","USA.19.12_1",11
